eip,title,status,type,author,created
2015,wallet_updateEthereumChain RPC Method,Adds an RPC method to switch betweeen EVM-compatible chains,"Pedro Gomes (@pedrouid), Erik Marks (@rekmarks), Pandapip1 (@Pandapip1)",https://ethereum-magicians.org/t/eip-2015-wallet-update-chain-json-rpc-method-wallet-updatechain/3274,Review
,,,,,
2018,Clearable Token,"Julio Faura <julio@adhara.io>, Fernando Paris <fer@io.builders>, Daniel Lehrner <daniel@io.builders>",#2104,Stagnant,Standards Track
,,,,,
2019,Fundable Token,"Fernando Paris <fer@io.builders>, Julio Faura <julio@adhara.io>, Daniel Lehrner <daniel@io.builders>",#2105,Stagnant,Standards Track
,,,,,
2020,E-Money Standard Token,"Julio Faura <julio@adhara.io>, Fernando Paris <fer@io.builders>, Daniel Lehrner <daniel@io.builders>",#2407,Stagnant,Standards Track
,,,,,
2021,Payoutable Token,"Fernando Paris <fer@io.builders>, Julio Faura <julio@adhara.io>, Daniel Lehrner <daniel@io.builders>",#2106,Stagnant,Standards Track
,,,,,
2025,Block Rewards Proposal for funding Eth1.x,James Hancock (@madeoftin),https://github.com/MadeofTin/EIPs/issues,Withdrawn,Standards Track
,,,,,
2026,State Rent H - Fixed Prepayment for accounts,Alexey Akhunov (@AlexeyAkhunov),https://ethereum-magicians.org/t/eip-2026-fixed-rent-prepayment-for-all-accounts-change-h-from-state-rent-v3-proposal/3273,Stagnant,Standards Track
,,,,,
2027,State Rent C - Net contract size accounting,Alexey Akhunov (@AlexeyAkhunov),https://ethereum-magicians.org/t/eip-2027-net-contract-size-accounting-change-c-from-state-rent-v3-proposal/3275,Stagnant,Standards Track
,,,,,
2028,Transaction data gas cost reduction,"Alexey Akhunov (@AlexeyAkhunov), Eli Ben Sasson <eli@starkware.co>, Tom Brand <tom@starkware.co>, Louis Guthmann <louis@starkware.co>, Avihu Levy <avihu@starkware.co>",https://ethereum-magicians.org/t/eip-2028-calldata-gas-cost-reduction/3280,Final,Standards Track
,,,,,
2029,State Rent A - State counters contract,Alexey Akhunov (@AlexeyAkhunov),https://ethereum-magicians.org/t/eip-2029-state-counters-contract-change-a-from-state-rent-v3-proposal/3279,Stagnant,Standards Track
,,,,,
2031,State Rent B - Net transaction counter,Alexey Akhunov (@AlexeyAkhunov),https://ethereum-magicians.org/t/eip-2031-net-transaction-counter-change-b-from-state-rent-v3-proposal/3283,Stagnant,Standards Track
,,,,,
2035,Stateless Clients - Repricing SLOAD and SSTORE to pay for block proofs,Alexey Akhunov (@AlexeyAkhunov),https://ethereum-magicians.org/t/eip-2035-stateless-clients-repricing-sload-and-sstore-to-pay-for-block-proofs/3284,Stagnant,Standards Track
,,,,,
2045,Particle gas costs for EVM opcodes,"Casey Detrio (@cdetrio), Alex Beregszaszi (@axic)",https://ethereum-magicians.org/t/eip-2045-fractional-gas-costs/3311,Stagnant,Standards Track
,,,,,
2046,Reduced gas cost for static calls made to precompiles,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-2046-reduced-gas-cost-for-static-calls-made-to-precompiles/3291,Stagnant,Standards Track
,,,,,
205,ENS support for contract ABIs,Nick Johnson <nick@ethereum.org>,Standards Track,ERC,Stagnant
,,,,,
2069,Recommendation for using YAML ABI in ERCs/EIPs,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-2069-recommendation-for-using-yaml-abi-in-specifications/3347,Stagnant,Informational
,,,,,
2070,Hardfork Meta: Berlin,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/hardfork-meta-eip-2070-berlin-discussion/3561,Meta,Stagnant
,,,,,
2098,Compact Signature Representation,A compact representation of an Ethereum Signature.,Final,Standards Track,ERC
,,,,,
210,Blockhash refactoring,Vitalik Buterin (@vbuterin),Standards Track,Core,Stagnant
,,,,,
211,New opcodes: RETURNDATASIZE and RETURNDATACOPY,Christian Reitwiessner <chris@ethereum.org>,Standards Track,Core,Final
,,,,,
2124,Fork identifier for chain compatibility checks,"Péter Szilágyi <peterke@gmail.com>, Felix Lange <fjl@ethereum.org>",#2125,Final,Standards Track
,,,,,
2135,"Consumable Interface (Tickets, etc)","An interface extending EIP-721 and EIP-1155 for consumability, supporting use case such as an event ticket.",Zainan Victor Zhou (@xinbenlv),https://ethereum-magicians.org/t/eip-2135-erc-consumable-interface/3439,Last Call
,,,,,
214,New opcode STATICCALL,"Vitalik Buterin <vitalik@ethereum.org>, Christian Reitwiessner <chris@ethereum.org>",Standards Track,Core,Final
,,,,,
2157,dType Storage Extension - Decentralized Type System for EVM,"Loredana Cirstea (@loredanacirstea), Christian Tzurcanu (@ctzurcanu)",#2157,Stagnant,Standards Track
,,,,,
2159,Common Prometheus Metrics Names for Clients,Adrian Sutton (@ajsutton),https://ethereum-magicians.org/t/common-chain-metrics/3415,Final,Standards Track
,,,,,
2193,dType Alias Extension - Decentralized Type System,"Loredana Cirstea (@loredanacirstea), Christian Tzurcanu (@ctzurcanu)",#2192,Stagnant,Standards Track
,,,,,
2200,Structured Definitions for Net Gas Metering,Wei Tang (@sorpaas),sorpaas#1,Final,Standards Track
,,,,,
2228,Canonicalize the name of network ID 1 and chain ID 1,William Entriken (@fulldecent),#2228,Final,Informational
,,,,,
223,223 Token with communication model,Token with event handling and communication model,Dexaran (@Dexaran) <dexaran@ethereumclassic.org>,https://ethereum-magicians.org/t/erc-223-token-standard/12894,Draft
,,,,,
2242,Transaction Postdata,John Adler (@adlerjohn),https://ethereum-magicians.org/t/eip-2242-transaction-postdata/3557,Stagnant,Standards Track
,,,,,
225,Clique proof-of-authority consensus protocol,Péter Szilágyi <peterke@gmail.com>,#225,Final,Standards Track
,,,,,
2255,Wallet Permissions System,An interface to restrict access to sensitive methods,"Dan Finlay (@danfinlay), Erik Marks (@rekmarks), Gavin John (@Pandapip1)",https://ethereum-magicians.org/t/web3-login-permissions/3583,Final
,,,,,
2256,wallet_getOwnedAssets JSON-RPC Method,Loredana Cirstea (@loredanacirstea),https://ethereum-magicians.org/t/eip-2256-add-wallet-getownedassets-json-rpc-method/3600,Stagnant,Standards Track
,,,,,
2266,Atomic Swap-based American Call Option Contract Standard,"Runchao Han <runchao.han@monash.edu>, Haoyu Lin <chris.haoyul@gmail.com>, Jiangshan Yu <jiangshan.yu@monash.edu>",#2266,Last Call,Standards Track
,,,,,
2294,Explicit bound to Chain ID size,Adds a maximum value to the Chain ID parameter to avoid potential encoding issues that may occur when using large values of the parameter.,"Zainan Victor Zhou (@xinbenlv), Alex Beregszaszi (@axic)",https://ethereum-magicians.org/t/eip-2294-explicit-bound-to-chain-id/11090,Review
,,,,,
2304,Multichain address resolution for ENS,Nick Johnson <nick@ens.domains>,Standards Track,ERC,Stagnant
,,,,,
2309,ERC-721 Consecutive Transfer Extension,Sean Papanikolas (@pizzarob),#2309,Final,Standards Track
,,,,,
2315,Simple Subroutines for the EVM,"Two opcodes for efficient, safe, and static subroutines.","Greg Colvin (@gcolvin), Martin Holst Swende (@holiman), Brooklyn Zelenka (@expede), John Max Skaller <skaller@internode.on.net>",https://ethereum-magicians.org/t/eip-2315-simple-subroutines-for-the-evm/3941,Withdrawn
,,,,,
2327,BEGINDATA opcode,Martin Lundfall (@MrChico),https://ethereum-magicians.org/t/new-opcode-begindata/3727,Stagnant,Standards Track
,,,,,
233,Formal process of hard forks,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-233-formal-process-of-hard-forks/1387,Meta,Stagnant
,,,,,
2330,EXTSLOAD opcode,A new EVM opcode to read external contract storage data.,"Dominic Letz (@dominicletz), Santiago Palladino (@spalladino)",https://ethereum-magicians.org/t/eip-2330-extsload-and-abi-for-lower-gas-cost-and-off-chain-apps/3733,Stagnant
,,,,,
2333,BLS12-381 Key Generation,Carl Beekhuizen <carl@ethereum.org>,#2337,Stagnant,Standards Track
,,,,,
2334,BLS12-381 Deterministic Account Hierarchy,Carl Beekhuizen <carl@ethereum.org>,#2338,Stagnant,Standards Track
,,,,,
2335,BLS12-381 Keystore,Carl Beekhuizen <carl@ethereum.org>,#2339,Stagnant,Standards Track
,,,,,
234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu (@MicahZoltu),#234,Standards Track,Interface
,,,,,
2364,eth/64: forkid-extended protocol handshake,Introduces validation of the `forkid` when handshaking with peers.,"Péter Szilágyi <peterke@gmail.com>, Péter Szilágyi (@karalabe), Tim Beiko (@timbeiko)",#2365,Final
,,,,,
2378,EIPs Eligible for Inclusion,James Hancock (@MadeofTin),https://gitter.im/ethereum/EIPs,Stagnant,Meta
,,,,,
2384,Muir Glacier Difficulty Bomb Delay,Eric Conner (@econoar),https://ethereum-magicians.org/t/eip-2384-difficulty-bomb-delay,Standards Track,Core
,,,,,
2386,Ethereum 2 Hierarchical Deterministic Walletstore,Jim McDonald <Jim@mcdee.net>,https://ethereum-magicians.org/t/eip-2386-walletstore/3792,Stagnant,Standards Track
,,,,,
2387,Hardfork Meta: Muir Glacier,James Hancock (@madeoftin),https://ethereum-magicians.org/t/hard-fork-to-address-the-ice-age-eip-2387,Meta,Final
,,,,,
2390,Geo-ENS,James Choncholas (@james-choncholas),#2959,Stagnant,Standards Track
,,,,,
2400,Transaction Receipt URI,URI format for submitted transactions with complete information for transaction decoding,"Ricardo Guilherme Schmidt (@3esmit), Eric Dvorsak (@yenda)",https://ethereum-magicians.org/t/eip-2400-transaction-receipt-uri/,Stagnant
,,,,,
2458,Updates and Updated-by Header,Edson Ayllon (@edsonayllon),#2453,Withdrawn,Informational
,,,,,
2464,eth/65: transaction announcements and retrievals,"Introduces `NewPooledTransactionHashes`, `GetPooledTransactions`, and `PooledTransactions`.","Péter Szilágyi <peterke@gmail.com>, Péter Szilágyi (@karalabe), Gary Rong <garyrong0905@gmail.com>, Tim Beiko (@timbeiko)",#2465,Final
,,,,,
2470,Singleton Factory,Ricardo Guilherme Schmidt (@3esmit),https://ethereum-magicians.org/t/erc-2470-singleton-factory/3933,Stagnant,Standards Track
,,,,,
2474,Coinbase calls,Ricardo Guilherme Schmidt (@3esmit),https://ethresear.ch/t/gas-abstraction-non-signed-block-validator-only-procedures/4388/2,Stagnant,Standards Track
,,,,,
2477,Token Metadata Integrity,"Kristijan Sedlak (@xpepermint), William Entriken <github.com@phor.net>, Witek Radomski <witek@enjin.io>",#2483,Standards Track,ERC
,,,,,
2481,eth/66 request identifier,Introduces a request id for all requests of the eth protocol,Christoph Burgdorf (@cburgdorf),https://ethereum-magicians.org/t/eip-2481-eth-66-request-identifiers/12132,Final
,,,,,
2488,Deprecate the CALLCODE opcode,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-2488-deprecate-the-callcode-opcode/3957,Stagnant,Standards Track
,,,,,
2494,Baby Jubjub Elliptic Curve,"Barry WhiteHat (@barryWhiteHat), Marta Bellés (@bellesmarta), Jordi Baylina (@jbaylina)",https://ethereum-magicians.org/t/eip-2494-baby-jubjub-elliptic-curve/3968,Stagnant,Standards Track
,,,,,
2515,Implement Difficulty Freeze,James Hancock (@madeoftin),https://ethereum-magicians.org/t/eip-2515-replace-the-difficulty-bomb-with-a-difficulty-freeze/3995,Stagnant,Standards Track
,,,,,
2520,Multiple contenthash records for ENS,Filip Štamcar (@filips123),#2393,Stagnant,Standards Track
,,,,,
2525,ENSLogin,Hadrien Croubois (@amxx),https://ethereum-magicians.org/t/discussion-ens-login/3569,Stagnant,Standards Track
,,,,,
2535,"Diamonds, Multi-Facet Proxy",Create modular smart contract systems that can be extended after deployment.,Nick Mudge (@mudgen),https://ethereum-magicians.org/t/discussion-for-eip2535-diamonds/10459/,Final
,,,,,
2537,Precompile for BLS12-381 curve operations,"Alex Vlasov (@shamatar), Kelly Olson (@ineffectualproperty)",https://ethereum-magicians.org/t/eip2537-bls12-precompile-discussion-thread/4187,Stagnant,Standards Track
,,,,,
2539,BLS12-377 curve operations,Alex Vlasov (@shamatar),https://ethereum-magicians.org/t/eip-2539-bls12-377-precompile-discussion-thread/4659,Stagnant,Standards Track
,,,,,
2542,New opcodes TXGASLIMIT and CALLGASLIMIT,Alex Forshtat <forshtat1@gmail.com>,https://ethereum-magicians.org/t/eip-2542-add-txgaslimit-callgaslimit-txgasrefund-opcodes,Stagnant,Standards Track
,,,,,
2544,ENS Wildcard Resolution,"Adds support for ""wildcard"" resolution of subdomains in ENS.","Nick Johnson (@arachnid), 0age (@0age)",https://ethereum-magicians.org/t/eip-2544-ens-wildcard-resolution,Stagnant
,,,,,
2565,ModExp Gas Cost,"Kelly Olson (@ineffectualproperty), Sean Gulley (@sean-sn), Simon Peffers (@simonatsn), Justin Drake (@justindrake), Dankrad Feist (@dankrad)",https://ethereum-magicians.org/t/big-integer-modular-exponentiation-eip-198-gas-cost/4150,Final,Standards Track
,,,,,
2566,Human Readable Parameters for Contract Function Execution,Joseph Stockermans (@jstoxrocky),https://ethereum-magicians.org/t/human-readable-parameters-for-contract-function-execution/4154,Stagnant,Standards Track
,,,,,
2569,Saving and Displaying Image Onchain for Universal Tokens,"A set of interfaces to save an SVG image in Ethereum, and to retrieve the image file from Ethereum for universal tokens.","Hua Zhang (@dgczhh), Yuefei Tan (@whtyfhas), Derek Zhou (@zhous), Ran Xing (@lemontreeran)",https://ethereum-magicians.org/t/erc-2569-saving-and-displaying-image-onchain-for-universal-tokens/4167,Stagnant
,,,,,
2583,Penalty for account trie misses,Martin Holst Swende (@holiman),https://ethereum-magicians.org/t/eip-2583-penalties-for-trie-misses/4190,Stagnant,Standards Track
,,,,,
2584,Trie format transition with overlay trees,Guillaume Ballet (@gballet),https://ethresear.ch/t/overlay-method-for-hex-bin-tree-conversion/7104,Stagnant,Standards Track
,,,,,
2593,Escalator fee market change for ETH 1.0 chain,Dan Finlay <dan@danfinlay.com>,https://ethresear.ch/t/another-simple-gas-fee-model-the-escalator-algorithm-from-the-agoric-papers/6399,Stagnant,Standards Track
,,,,,
2612,Permit Extension for EIP-20 Signed Approvals,EIP-20 approvals via EIP-712 secp256k1 signatures,Martin Lundfall (@Mrchico),#2613,Final
,,,,,
2615,Non-Fungible Token with mortgage and rental functions,Kohshi Shiba <kohshi.shiba@gmail.com>,#2616,Stagnant,Standards Track
,,,,,
2645,Hierarchical Deterministic Wallet for Layer-2,"Tom Brand <tom@starkware.co>, Louis Guthmann <louis@starkware.co>",https://ethereum-magicians.org/t/hierarchical-deterministic-wallet-for-computation-integrity-proof-cip-layer-2/4286,Stagnant,Standards Track
,,,,,
2657,Ephemeral Testnet Yolo,James Hancock (@madeoftin),https://gitter.im/ethereum/AllCoreDevs,Stagnant,Meta
,,,,,
2666,Repricing of precompiles and Keccak256 function,Alex Vlasov (@shamatar),https://ethereum-magicians.org/t/eip2666-global-precompiles-repricing-and-many-more-discussion-thread/4332,Stagnant,Standards Track
,,,,,
2677,Limit size of `initcode`,"Martin Holst Swende (@holiman), Paweł Bylica (@chfast), Alex Beregszaszi (@axic)",https://ethereum-magicians.org/t/eip-2677-limit-size-of-initcode/4550,Withdrawn,Standards Track
,,,,,
2678,Revised Ethereum Smart Contract Packaging Standard (EthPM v3),"g. nicholas d’andrea (@gnidan), Piper Merriam (@pipermerriam), Nick Gheorghita (@njgheorghita), Christian Reitwiessner (@chriseth), Ben Hauser (@iamdefinitelyahuman), Bryant Eisenbach (@fubuloubu)",https://ethereum-magicians.org/t/ethpm-v3-specification-working-group/4086,Final,Standards Track
,,,,,
2680,Ethereum 2 wallet layout,Jim McDonald <Jim@mcdee.net>,https://ethereum-magicians.org/t/eip-2680-ethereum-2-wallet-layout/4323,Stagnant,Standards Track
,,,,,
2681,Limit account nonce to 2^64-1,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-2681-limit-account-nonce-to-2-64-1/4324,Final,Standards Track
,,,,,
2696,JavaScript `request` method RPC transport,"Micah Zoltu (@MicahZoltu), Erik Marks (@rekmarks)",#2697,Final,Standards Track
,,,,,
2700,JavaScript Provider Event Emitter,"Micah Zoltu (@MicahZoltu), Erik Marks (@rekmarks)",#2701,Final,Standards Track
,,,,,
2711,"Sponsored, expiring and batch transactions.",Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/eip-2711-separate-gas-payer-from-msg-sender/4353,Withdrawn,Standards Track
,,,,,
2718,Typed Transaction Envelope,Defines a new transaction type that is an envelope for future transaction types.,Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/eip-2718-typed-transaction-envelope/4355,Final
,,,,,
2733,Transaction Package,Matt Garnett (@lightclient),https://ethereum-magicians.org/t/eip-transaction-package/4365,Withdrawn,Standards Track
,,,,,
2746,Rules Engine Standard,"Aaron Kendall (@jaerith), Juan Blanco (@juanfranblanco)",https://ethereum-magicians.org/t/eip-2746-rules-engine-interface/4435,Stagnant,Standards Track
,,,,,
2767,Contract Ownership Governance,"Soham Zemse (@zemse), Nick Mudge (@mudgen)",#2766,Stagnant,Standards Track
,,,,,
2770,Meta-Transactions Forwarder Contract,"Alex Forshtat (@forshtat), Dror Tirosh (@drortirosh)",https://ethereum-magicians.org/t/erc-2770-meta-transactions-forwarder-contract/5391,Stagnant,Standards Track
,,,,,
2771,Secure Protocol for Native Meta Transactions,A contract interface for receiving meta transactions through a trusted forwarder,"Ronan Sandford (@wighawag), Liraz Siri (@lirazsiri), Dror Tirosh (@drortirosh), Yoav Weiss (@yoavw), Alex Forshtat (@forshtat), Hadrien Croubois (@Amxx), Sachin Tomar (@tomarsachin2271), Patrick McCorry (@stonecoldpat), Nicolas Venturo (@nventuro), Fabian Vogelsteller (@frozeman), Gavin John (@Pandapip1)",https://ethereum-magicians.org/t/erc-2771-secure-protocol-for-native-meta-transactions/4488,Final
,,,,,
2780,Reduce intrinsic transaction gas,"Matt Garnett (@lightclient), Uri Klarman (@uriklarman)",https://ethereum-magicians.org/t/eip-2780-reduce-intrinsic-cost-of-transactions/4413,Withdrawn,Standards Track
,,,,,
2786,Ethereum Provider Connect/Disconnect Events,"Micah Zoltu (@MicahZoltu), Erik Marks (@rekmarks)",#2787,Withdrawn,Standards Track
,,,,,
2803,Rich Transactions,Support 'rich transactions' by allowing transactions from externally owned accounts to execute bytecode directly.,Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/rich-transactions-via-evm-bytecode-execution-from-externally-owned-accounts/4025,Stagnant
,,,,,
2831,Transaction Replacement Message Type,Gregory Markou (@GregTheGreek),https://ethereum-magicians.org/t/eip-2831-transaction-replacement-message-type/4448,Stagnant,Standards Track
,,,,,
2844,Add DID related methods to the JSON-RPC,Joel Thorstensson (@oed),#2845,Stagnant,Standards Track
,,,,,
2848,My Own Messages (MOM),Giuseppe Bertone (@Neurone),InternetOfPeers#1,Stagnant,Standards Track
,,,,,
2876,Deposit contract and address standard,Jonathan Underwood (@junderw),junderw/deposit-contract-poc#1,Stagnant,Standards Track
,,,,,
2917,Staking Reward Calculation,"Tony Carson <tony.carsonn@gmail.com>, Mehmet Sabir Kiraz <m.kiraz@gmail.com>, Süleyman Kardaş <skardas@gmail.com>",#2925,Stagnant,Standards Track
,,,,,
2926,Chunk-Based Code Merkleization,"Sina Mahmoodi (@s1na), Alex Beregszaszi (@axic)",https://ethereum-magicians.org/t/eip-2926-chunk-based-code-merkleization/4555,Stagnant,Standards Track
,,,,,
2929,Gas cost increases for state access opcodes,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",https://ethereum-magicians.org/t/eip-2929-gas-cost-increases-for-state-access-opcodes/4558,Final,Standards Track
,,,,,
2930,Optional access lists,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",https://ethereum-magicians.org/t/eip-2930-optional-access-lists/4561,Final,Standards Track
,,,,,
2935,Save historical block hashes in state,"Vitalik Buterin (@vbuterin), Tomasz Stanczak (@tkstanczak)",https://ethereum-magicians.org/t/eip-2935-save-historical-block-hashes-in-state/4565,Stagnant,Standards Track
,,,,,
2936,EXTCLEAR Opcode For SELFDESTRUCTed contracts,William Morriss (@wjmelements),https://ethereum-magicians.org/t/eip-2936-extclear-for-selfdestruct/4569,Stagnant,Standards Track
,,,,,
2937,SET_INDESTRUCTIBLE opcode,Vitalik Buterin (@vbuterin),https://ethereum-magicians.org/t/eip-2937-set-indestructible/4571,Stagnant,Standards Track
,,,,,
2938,Account Abstraction,"Vitalik Buterin (@vbuterin), Ansgar Dietrichs (@adietrichs), Matt Garnett (@lightclient), Will Villanueva (@villanuevawill), Sam Wilson (@SamWilsn)",https://ethereum-magicians.org/t/eip-2938-account-abstraction/4630,Stagnant,Standards Track
,,,,,
2942,EthPM URI Specification,"Nick Gheorghita (@njgheorghita), Piper Merriam (@pipermerriam), g. nicholas d'andrea (@gnidan), Benjamin Hauser (@iamdefinitelyahuman)",https://ethereum-magicians.org/t/ethpm-v3-specification-working-group/4086/7,Stagnant,Standards Track
,,,,,
2970,IS_STATIC opcode,Vitalik Buterin (@vbuterin),https://ethereum-magicians.org/t/is-static-opcode-useful-for-aa/4609,Stagnant,Standards Track
,,,,,
2972,Wrapped Legacy Transactions,Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/eip-2972-wrapped-legacy-transactions/4604,Withdrawn,Standards Track
,,,,,
2976,Typed Transactions over Gossip,Adds support for transmission of typed transactions over devp2p.,Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/eip-2976-eth-typed-transactions-over-gossip/4610,Final
,,,,,
2980,Swiss Compliant Asset Token,"An interface for asset tokens, compliant with Swiss Law and compatible with [ERC-20](./eip-20.md).","Gianluca Perletti (@Perlets9), Alan Scarpellini (@alanscarpellini), Roberto Gorini (@robertogorini), Manuel Olivi (@manvel79)",#2983,Stagnant
,,,,,
2981,NFT Royalty Standard,"Zach Burks (@vexycats), James Morgan (@jamesmorgan), Blaine Malone (@blmalone), James Seibel (@seibelj)",#2907,Final,Standards Track
,,,,,
2982,Serenity Phase 0,"Phase 0 of the release schedule of Serenity, a series of updates to Ethereum a scalable, proof-of-stake consensus","Danny Ryan (@djrtwo), Vitalik Buterin (@vbuterin)",https://ethereum-magicians.org/t/serenity-phase-0-eip/4621,Final
,,,,,
2997,IMPERSONATECALL Opcode,Sergio Demian Lerner (@SergioDemianLerner),https://ethresear.ch/t/impersonatecall-opcode/8020,Core,Standards Track
,,,,,
3,Addition of CALLDEPTH opcode,Martin Holst Swende <martin@swende.se>,Withdrawn,Standards Track,Core
,,,,,
3000,Optimistic enactment governance standard,"Jorge Izquierdo (@izqui), Fabien Marino (@bonustrack)",#3042,Stagnant,Standards Track
,,,,,
3005,Batched meta transactions,Matt (@defifuture),https://ethereum-magicians.org/t/eip-3005-the-economic-viability-of-batched-meta-transactions/4673,Stagnant,Standards Track
,,,,,
3009,Transfer With Authorization,"Peter Jihoon Kim (@petejkim), Kevin Britz (@kbrizzle), David Knott (@DavidLKnott)",#3010,Stagnant,Standards Track
,,,,,
3014,eth_symbol JSON-RPC method,Peter Grassberger (@PeterTheOne),#3012,Stagnant,Standards Track
,,,,,
3026,BW6-761 curve operations,"Youssef El Housni (@yelhousni), Michael Connor (@iAmMichaelConnor), Aurore Guillevic <aurore.guillevic@inria.fr>",https://ethereum-magicians.org/t/eip-3026-bw6-761-curve-operations/4790,Stagnant,Standards Track
,,,,,
3030,BLS Remote Signer HTTP API,Herman Junge (@hermanjunge),https://ethereum-magicians.org/t/eip-3030-bls-remote-signer-http-api-standard/4810,Stagnant,Standards Track
,,,,,
3041,Adds `baseFee` to `eth_getBlockByHash`,Abdelhamid Bakhta (@abdelhamidbakhta),https://ethereum-magicians.org/t/eip-3041-add-basefee-in-eth-getblockbyhash-response/4825,Stagnant,Standards Track
,,,,,
3044,Adds `baseFee` to `eth_getBlockByNumber`,Abdelhamid Bakhta (@abdelhamidbakhta),https://ethereum-magicians.org/t/eip-3044-add-basefee-to-eth-getblockbynumber/4828,Stagnant,Standards Track
,,,,,
3045,Adds `baseFee` to `eth_getUncleByBlockHashAndIndex`,Abdelhamid Bakhta (@abdelhamidbakhta),https://ethereum-magicians.org/t/add-basefee-to-eth-getunclebyblockhashandindex/4829,Stagnant,Standards Track
,,,,,
3046,Adds `baseFee` to `eth_getUncleByBlockNumberAndIndex`,Abdelhamid Bakhta (@abdelhamidbakhta),https://ethereum-magicians.org/t/add-basefee-to-eth-getunclebyblocknumberandindex/4830,Stagnant,Standards Track
,,,,,
3068,Precompile for BN256 HashToCurve Algorithms,Dr. Christopher Gorman (@chgormanMH),https://ethereum-magicians.org/t/pre-compile-for-bls/3973,Stagnant,Standards Track
,,,,,
3074,AUTH and AUTHCALL opcodes,Allow externally owned accounts to delegate control to a contract.,"Sam Wilson (@SamWilsn), Ansgar Dietrichs (@adietrichs), Matt Garnett (@lightclient), Micah Zoltu (@micahzoltu)",https://ethereum-magicians.org/t/eip-3074-sponsored-transaction-precompile/4880,Review
,,,,,
3076,Slashing Protection Interchange Format,A JSON interchange format for proof of stake validators to migrate slashing protection data between clients.,"Michael Sproul (@michaelsproul), Sacha Saint-Leger (@sachayves), Danny Ryan (@djrtwo)",https://ethereum-magicians.org/t/eip-3076-validator-client-interchange-format-slashing-protection/,Last Call
,,,,,
3085,Wallet Add Ethereum Chain RPC Method (`wallet_addEthereumChain`),"Erik Marks (@rekmarks), Pedro Gomes (@pedrouid)",https://ethereum-magicians.org/t/eip-3085-wallet-addethereumchain/5469,Stagnant,Standards Track
,,,,,
3091,Block Explorer API Routes,Pedro Gomes (@pedrouid),https://ethereum-magicians.org/t/eip-3091-block-explorer-api-routes/4907,Stagnant,Standards Track
,,,,,
3102,Binary trie structure,"Guillaume Ballet (@gballet), Vitalik Buterin (@vbuterin)",Draft,https://ethresear.ch/t/binary-trie-format/7621,Standards Track
,,,,,
3135,Exclusive Claimable Token,Zhenyu Sun (@Ungigdu),#3132,Stagnant,Standards Track
,,,,,
3143,Increase block rewards to 5 ETH,Ben Tinner (@Terra854),https://ethereum-magicians.org/t/eip-3143-increase-block-rewards-to-5-eth/5061,Stagnant,Standards Track
,,,,,
3155,EVM trace specification,"Martin Holst Swende (@holiman), Marius van der Wijden (@MariusVanDerWijden)",https://ethereum-magicians.org/t/eip-3155-create-evm-trace-specification/5007,Stagnant,Standards Track
,,,,,
3156,Flash Loans,"Alberto Cuesta Cañada (@albertocuestacanada), Fiona Kobayashi (@fifikobayashi), fubuloubu (@fubuloubu), Austin Williams (@onewayfunction)",https://ethereum-magicians.org/t/erc-3156-flash-loans-review-discussion/5077,Final,Standards Track
,,,,,
3198,BASEFEE opcode,"Abdelhamid Bakhta (@abdelhamidbakhta), Vitalik Buterin (@vbuterin)",https://ethereum-magicians.org/t/eip-3198-basefeeopcode/5162,Final,Standards Track
,,,,,
3220,Crosschain Identifier Specification,"Weijia Zhang (@weijia31415), Peter Robinson (@drinkcoffee)",https://ethereum-magicians.org/t/eip-3220-crosschain-id-specification/5446,Stagnant,Standards Track
,,,,,
3224,Described Data,Contract method to compute human-readable descriptions for signable data.,"Richard Moore (@ricmoo), Nick Johnson (@arachnid)",#3225,Stagnant
,,,,,
3234,Batch Flash Loans,"Alberto Cuesta Cañada (@albertocuestacanada), Fiona Kobayashi (@fifikobayashi), fubuloubu (@fubuloubu), Austin Williams (@onewayfunction)",https://ethereum-magicians.org/t/erc-3234-batch-flash-loans/5271,Stagnant,Standards Track
,,,,,
3238,Difficulty Bomb Delay to Q2/2022,Afri Schoedon (@q9f),#3239,Standards Track,Core
,,,,,
3267,Giving Ethereum fees to Future Salaries,"Victor Porton (@vporton), Victor Porton <porton@narod.ru>",https://ethereum-magicians.org/t/discussion-of-eip-3267/5343,Stagnant,Standards Track
,,,,,
3298,Removal of refunds,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",https://ethereum-magicians.org/t/eip-3298-removal-of-refunds/5430,Stagnant,Standards Track
,,,,,
